usneseni,kategorie,cislo,stala_delegace,poslanec,nahradnik,funkce,termin,pobyt,zeme,organizace,mesto,zduvodneni,naklady_PSP,url
UO007,2,1,,R. Vondráček,F,předseda PS,30.11. – 1.12.2017,30.11. – 1.12.2017,Maďarsko,V4,Budapešť,účast na setkání předsedů parlamentů zemí V4 v Budapešti (na pozvání předsedy Národního shromáždění Maďarska),"ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=119872
UO007,2,1,,K. Schwarzenberg,F,Zahraniční výbor,13. – 14. 12. 2017,13. – 14. 12. 2017,Maďarsko,V4,Budapešť,účast na pravidelném setkání předsedů a místopředsedů zahraničních výborů parlamentů zemí Visegrádské skupiny pořádaném Parlamentem Maďarska v Budapešti,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=119872
UO007,2,1,,J. Kobza,F,Zahraniční výbor,13. – 14. 12. 2017,13. – 14. 12. 2017,Maďarsko,V4,Budapešť,účast na pravidelném setkání předsedů a místopředsedů zahraničních výborů parlamentů zemí Visegrádské skupiny pořádaném Parlamentem Maďarska v Budapešti,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=119872
UO007,2,1,,R. Králíček,F,Zahraniční výbor,13. – 14. 12. 2017,13. – 14. 12. 2017,Maďarsko,V4,Budapešť,účast na pravidelném setkání předsedů a místopředsedů zahraničních výborů parlamentů zemí Visegrádské skupiny pořádaném Parlamentem Maďarska v Budapešti,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=119872
UO007,2,1,,M. Peksa,F,Zahraniční výbor,13. – 14. 12. 2017,13. – 14. 12. 2017,Maďarsko,V4,Budapešť,účast na pravidelném setkání předsedů a místopředsedů zahraničních výborů parlamentů zemí Visegrádské skupiny pořádaném Parlamentem Maďarska v Budapešti,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=119872
UO007,2,3,,R. Maxová,F,Výbor pro sociální politiku,20. – 21. 12. 2017,20. – 21. 12. 2017,Maďarsko,V4,Budapešť,účast na pravidelném setkání předsedů a místopředsedů výborů pro sociální politiku parlamentů zemí Visegrádské skupiny pořádaném Parlamentem Maďarska v Budapešti,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=119872
UO007,2,3,,L. Šafránková,F,Výbor pro sociální politiku,20. – 21. 12. 2017,20. – 21. 12. 2017,Maďarsko,V4,Budapešť,účast na pravidelném setkání předsedů a místopředsedů výborů pro sociální politiku parlamentů zemí Visegrádské skupiny pořádaném Parlamentem Maďarska v Budapešti,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=119872
UO007,2,3,,J. Pastuchová,T,Výbor pro sociální politiku,20. – 21. 12. 2017,20. – 21. 12. 2017,Maďarsko,V4,Budapešť,účast na pravidelném setkání předsedů a místopředsedů výborů pro sociální politiku parlamentů zemí Visegrádské skupiny pořádaném Parlamentem Maďarska v Budapešti,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=119872
UO014,2,1,,O. Benešík,F,předseda Výboru pro evropské záležitosti,21. – 22. 1. 2018,21. – 23. 1. 2018,Bulharsko,EU,Sofie,účast na pravidelném setkání předsedů výborů pro evropské záležitosti národních parlamentů členských a kandidátských zemí EU a zástupců EP (COSAC) v Sofii,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143296
UO014,2,2,,O. Benešík,F,Výbor pro evropské záležitosti,24. 1. 2018,23. – 24. 1. 2018,Belgie,EP,Brusel,účast na meziparlamentním setkání k migrační agendě pořádaném výborem LIBE EP v Bruselu,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143296
UO014,2,2,,J. Kobza,F,Výbor pro evropské záležitosti,24. 1. 2018,23. – 24. 1. 2018,Belgie,EP,Brusel,účast na meziparlamentním setkání k migrační agendě pořádaném výborem LIBE EP v Bruselu,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143296
UO014,2,2,,H. Langšádlová,F,Výbor pro evropské záležitosti,24. 1. 2018,23. – 24. 1. 2018,Belgie,EP,Brusel,účast na meziparlamentním setkání k migrační agendě pořádaném výborem LIBE EP v Bruselu,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143296
UO014,2,2,,J. Skopeček,F,Výbor pro evropské záležitosti,24. 1. 2018,23. – 24. 1. 2018,Belgie,EP,Brusel,účast na meziparlamentním setkání k migrační agendě pořádaném výborem LIBE EP v Bruselu,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143296
UO014,2,2,,M. Peksa,T,Výbor pro evropské záležitosti,24. 1. 2018,23. – 24. 1. 2018,Belgie,EP,Brusel,účast na meziparlamentním setkání k migrační agendě pořádaném výborem LIBE EP v Bruselu,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143296
UO014,2,2,,F. Kopřiva,T,Výbor pro evropské záležitosti,24. 1. 2018,23. – 24. 1. 2018,Belgie,EP,Brusel,účast na meziparlamentním setkání k migrační agendě pořádaném výborem LIBE EP v Bruselu,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143296
UO014,2,2,,L. Volný,T,Výbor pro evropské záležitosti,24. 1. 2018,23. – 24. 1. 2018,Belgie,EP,Brusel,účast na meziparlamentním setkání k migrační agendě pořádaném výborem LIBE EP v Bruselu,"doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143296
UO021,1,1,Rada Evropy,M. Němcová,F,NA,22. – 26.1. 2018,21. – 26.1. 2018,Francie,,Štrasburk,1. část plenárního zasedání PS RE,"doprava, ubytování, stravné, pojištění, příspěvek na recepci pořádanou v rámci setkání V4 ve výši 200 EUR",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,1,1,Rada Evropy,O. Benešík,F,NA,22. – 26.1. 2018,21. – 26.1. 2018,Francie,,Štrasburk,1. část plenárního zasedání PS RE,"doprava, ubytování, stravné, pojištění, příspěvek na recepci pořádanou v rámci setkání V4 ve výši 200 EUR",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,1,1,Rada Evropy,J. Bžoch,F,NA,22. – 26.1. 2018,21. – 26.1. 2018,Francie,,Štrasburk,1. část plenárního zasedání PS RE,"doprava, ubytování, stravné, pojištění, příspěvek na recepci pořádanou v rámci setkání V4 ve výši 200 EUR",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,1,1,Rada Evropy,T. Hanzel,F,NA,22. – 26.1. 2018,21. – 26.1. 2018,Francie,,Štrasburk,1. část plenárního zasedání PS RE,"doprava, ubytování, stravné, pojištění, příspěvek na recepci pořádanou v rámci setkání V4 ve výši 200 EUR",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,1,1,Rada Evropy,F. Kopřiva,F,NA,22. – 26.1. 2018,21. – 26.1. 2018,Francie,,Štrasburk,1. část plenárního zasedání PS RE,"doprava, ubytování, stravné, pojištění, příspěvek na recepci pořádanou v rámci setkání V4 ve výši 200 EUR",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,1,1,Rada Evropy,J. Kytýr,F,NA,22. – 26.1. 2018,21. – 26.1. 2018,Francie,,Štrasburk,1. část plenárního zasedání PS RE,"doprava, ubytování, stravné, pojištění, příspěvek na recepci pořádanou v rámci setkání V4 ve výši 200 EUR",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,1,1,Rada Evropy,J. Kobza,F,NA,22. – 26.1. 2018,21. – 26.1. 2018,Francie,,Štrasburk,1. část plenárního zasedání PS RE,"doprava, ubytování, stravné, pojištění, příspěvek na recepci pořádanou v rámci setkání V4 ve výši 200 EUR",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,1,1,Rada Evropy,P. Staněk,F,NA,22. – 26.1. 2018,21. – 26.1. 2018,Francie,,Štrasburk,1. část plenárního zasedání PS RE,"doprava, ubytování, stravné, pojištění, příspěvek na recepci pořádanou v rámci setkání V4 ve výši 200 EUR",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,1,1,Rada Evropy,J. Strýček,F,NA,22. – 26.1. 2018,21. – 26.1. 2018,Francie,,Štrasburk,1. část plenárního zasedání PS RE,"doprava, ubytování, stravné, pojištění, příspěvek na recepci pořádanou v rámci setkání V4 ve výši 200 EUR",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,2,1,,A. Kalous,T,Výbor pro evropské záležitosti,24.1. 2018,23. – 24.1. 2018,Belgie,EP,Brusel,"účast na meziparlamentním setkání k migrační agendě pořádaném výborem LIBE EP v Bruselu cesta schválena ORGV 13.12. 2017, usn. č. 14 – pouze doplnění jména náhradníka","doprava, ubytování, stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,3,1,,R. Vondráček,F,předseda PS,5.1. 2018,5.1. 2018,Polsko,,Promnice,pracovní setkání s maršálkem Sejmu Polské republiky Markem Kuchcińskim v Promnicích (na pozvání maršálka Sejmu PR),"stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,3,1,,R. Vondráček,F,předseda PS,14. – 15.1. 2018,14. – 15.1. 2018,Slovensko,,Bratislava,oficiální návštěva Slovenské republiky (na pozvání předsedy Národní rady SR Andreje Danka),"stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,3,1,,J. Hamáček,F,1. místopředseda PS,14. – 15.1. 2018,14. – 15.1. 2018,Slovensko,,Bratislava,oficiální návštěva Slovenské republiky (na pozvání předsedy Národní rady SR Andreje Danka),"stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,3,1,,V. Filip,F,místopředseda PS,14. – 15.1. 2018,14. – 15.1. 2018,Slovensko,,Bratislava,oficiální návštěva Slovenské republiky (na pozvání předsedy Národní rady SR Andreje Danka),"stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
UO021,3,1,,T. Okamura,F,místopředseda PS,14. – 15.1. 2018,14. – 15.1. 2018,Slovensko,,Bratislava,oficiální návštěva Slovenské republiky (na pozvání předsedy Národní rady SR Andreje Danka),"stravné, pojištění",http://www.psp.cz/sqw/text/text2.sqw?idd=143533
